ID,X_UTM,Y_UTM,LAND_USE
464183,783161,4566180,3
464188,783190,4522061,4
464189,783192,4580221,3
464191,783196,4551141,2
464193,783201,4623343,2
464196,783217,4507022,4
464197,783220,4594263,2
464201,783229,4536102,3
464202,783230,4565182,3
464207,783258,4521063,3
464208,783261,4579223,3
464210,783265,4550143,2
464211,783270,4622345,2
464215,783285,4506024,2
464216,783290,4593265,3
464219,783297,4535104,3
464221,783299,4564184,4
464225,783327,4520065,4
464227,783330,4578225,3
464229,783334,4549145,2
464230,783340,4621347,2
464232,783353,4505026,2
464234,783359,4592267,2
464237,783366,4534106,3
464238,783368,4563186,3
464243,783395,4519067,3
464246,783399,4577227,3
464247,783402,4548147,3
464248,783410,4620349,2
464250,783422,4504028,4
464252,783428,4591269,2
464255,783434,4533108,3
464256,783437,4562188,3
464261,783464,4518069,3
464264,783468,4576229,3
464265,783471,4547149,2
464266,783479,4619351,3
464268,783490,4503030,2
464270,783498,4590271,2
464272,783503,4532110,4
464274,783505,4561190,3
464280,783532,4517071,3
464284,783540,4546151,2
464285,783549,4618353,4
464287,783558,4502032,2
464289,783567,4589273,4
464290,783571,4531112,3
464292,783574,4560192,3
464299,783600,4516073,3
464301,783606,4574233,3
464303,783609,4545153,2
464304,783618,4617355,1
464306,783626,4501034,2
464308,783636,4588275,3
464309,783640,4530114,4
464311,783643,4559194,3
464318,783669,4515075,3
464320,783676,4573235,3
464321,783677,4544155,3
464323,783688,4616357,2
464326,783705,4587277,2
464328,783709,4529116,4
464330,783712,4558196,2
464337,783737,4514077,4
464339,783745,4572237,3
464340,783746,4543157,3
464342,783758,4615359,2
464345,783775,4586279,3
464347,783777,4528118,4
464349,783781,4557198,3
464357,783805,4513079,2
464358,783814,4571239,4
464359,783815,4542159,3
464361,783827,4614361,3
464364,783844,4585281,3
464365,783846,4527120,3
464367,783850,4556200,2
464368,783850,4628403,2
464376,783874,4512081,2
464377,783883,4541161,3
464378,783883,4570241,3
464380,783897,4613363,3
464383,783913,4584283,4
464384,783914,4526122,3
464386,783919,4555202,2
464387,783920,4627405,2
464393,783941,4598324,2
464395,783942,4511083,2
464396,783952,4540163,3
464397,783952,4569243,3
464399,783966,4612365,4
464402,783982,4583285,3
464403,783983,4525124,4
464405,783988,4554204,2
464407,783989,4626407,2
464411,784010,4510085,2
464412,784010,4597326,2
464415,784021,4539165,3
464416,784021,4568245,3
464419,784036,4611367,2
464421,784051,4524126,3
464422,784051,4582287,3
464423,784056,4553206,3
464426,784059,4625409,2
464430,784079,4509087,2
464431,784080,4596328,2
464434,784089,4538167,4
464435,784090,4567247,3
464440,784119,4523128,4
464441,784121,4581289,3
464443,784125,4552208,2
464445,784129,4624411,2
464448,784147,4508089,2
464450,784149,4595330,2
464453,784158,4537169,3
464454,784159,4566249,3
