"ID";"num.sp";"saplings";"seedlings"
20;7;0;3
20;2;0;0
20;-1;0;0
24;7;5;1
24;2;0;0
26;7;0;3
26;14;0;1
26;2;0;1
51;7;3;0
51;-1;1;2
51;14;0;1
56;7;4;3
56;-1;0;0
56;2;0;1
60;7;0;0
62;7;2;3
62;14;0;2
62;2;0;0
84;7;1;2
84;14;0;2
87;7;0;0
87;-1;0;0
87;16;0;1
87;2;0;2
87;14;0;1
92;7;5;2
94;7;1;1
94;14;0;1
96;7;0;1
96;14;0;3
98;7;17;3
98;14;0;0
100;7;2;1
100;14;0;1
109;7;0;0
109;2;0;1
109;14;0;3
109;-1;0;0
109;16;0;0
118;7;0;1
121;7;0;0
121;14;6;3
124;7;21;2
136;7;0;1
147;7;3;1
147;-1;0;0
156;7;0;0
156;16;2;3
156;-1;0;0
156;14;2;3
159;7;0;1
159;14;0;2
162;7;0;1
162;2;0;1
162;-1;2;1
162;14;0;3
168;7;0;0
168;-1;0;0
168;16;0;0
168;2;1;1
168;14;9;3
173;7;14;2
173;14;0;3
176;7;0;2
176;14;0;0
176;16;0;0
184;7;0;0
184;-1;0;0
193;7;1;1
193;14;3;3
196;7;0;2
196;-1;0;0
196;14;0;1
217;7;0;3
217;14;0;3
222;7;0;2
230;7;1;1
230;14;0;0
230;-1;0;0
239;7;0;1
239;-1;0;3
243;7;0;3
243;-1;0;0
258;7;0;2
258;-1;0;1
258;16;0;0
258;2;1;0
258;14;0;1
259;7;0;1
259;14;0;2
262;7;0;1
262;16;0;0
262;2;0;0
262;-1;2;1
262;14;0;3
263;7;0;1
263;14;1;1
266;7;0;0
266;-1;10;2
266;16;0;1
266;2;0;1
266;14;0;1
267;7;0;3
267;14;0;1
267;-1;0;0
270;7;0;1
270;14;0;0
275;7;0;0
275;14;0;1
275;-1;0;0
283;7;4;3
283;14;2;2
283;2;0;1
283;16;0;0
283;-1;0;0
287;7;20;2
291;7;0;0
291;14;0;1
291;-1;0;0
299;7;0;0
299;14;3;2
299;-1;0;0
303;7;0;1
303;-1;4;2
307;7;0;2
307;14;0;1
307;-1;8;1
311;7;1;2
311;14;0;3
311;-1;2;3
319;-1;0;0
319;2;0;0
323;7;0;0
323;16;9;3
323;2;0;1
323;14;0;1
323;-1;0;1
327;7;0;0
327;-1;0;0
330;7;1;2
330;16;0;0
330;2;0;0
330;-1;0;0
330;14;0;2
350;7;0;1
350;-1;12;2
350;14;1;2
351;7;3;1
354;7;2;1
354;-1;0;1
354;14;0;3
355;-1;0;0
358;7;0;0
358;-1;5;2
358;14;0;0
377;7;7;3
377;14;0;3
383;7;19;3
383;-1;0;0
383;14;0;1
387;7;0;0
387;-1;3;1
393;7;4;2
393;-1;0;0
398;7;3;1
398;-1;0;0
398;14;0;0
402;7;2;3
402;-1;0;1
415;7;0;3
415;-1;0;1
422;14;0;3
422;-1;2;3
422;16;0;0
426;7;0;0
426;14;0;2
426;-1;6;1
429;7;0;3
429;16;0;1
429;14;0;2
435;7;0;1
435;14;0;1
435;-1;0;0
438;7;11;2
438;14;0;2
446;7;0;3
446;14;0;3
452;7;0;1
452;14;0;2
463;7;2;1
463;-1;0;0
468;7;2;1
468;-1;0;0
476;7;1;1
476;-1;0;0
476;14;0;1
477;7;0;3
480;7;0;0
480;16;0;0
480;-1;0;0
480;14;3;3
484;7;4;1
484;14;0;3
493;-1;3;1
493;2;4;3
503;7;2;1
503;14;0;1
515;7;0;3
515;14;0;1
515;2;0;3
527;7;17;1
530;7;0;1
530;14;0;1
537;7;0;0
537;-1;0;0
540;7;3;1
540;-1;1;2
540;16;0;1
547;7;1;2
547;14;0;3
547;-1;0;1
548;7;0;3
551;7;0;0
557;7;0;0
557;-1;0;0
559;7;0;2
559;14;0;3
559;2;0;2
575;7;0;0
575;-1;0;1
577;7;4;2
577;-1;0;0
577;14;0;2
589;7;1;2
589;14;0;1
593;7;0;0
593;14;0;1
593;16;0;0
595;7;6;3
595;-1;0;0
595;14;0;3
598;7;0;0
601;7;0;3
604;-1;0;1
607;7;1;0
607;14;11;1
611;7;0;1
611;-1;0;0
612;7;1;0
612;-1;2;1
612;14;0;1
616;7;0;0
616;14;2;3
616;16;1;1
616;-1;0;0
621;7;5;1
621;-1;0;1
621;14;0;0
627;7;0;1
627;14;0;3
629;7;0;2
629;-1;0;1
635;7;0;3
635;14;0;1
638;7;0;0
638;-1;1;0
638;16;2;3
638;14;7;3
639;7;1;1
639;-1;3;1
639;14;0;3
642;7;0;3
642;2;0;0
642;16;0;1
642;14;0;2
646;7;14;0
646;-1;1;1
646;14;0;1
647;-1;0;1
667;7;0;0
667;2;0;0
667;14;0;3
675;7;0;1
675;2;0;1
675;14;0;2
681;7;0;1
686;7;0;0
686;-1;0;0
687;7;5;3
687;-1;0;2
691;7;1;1
691;14;0;2
691;16;0;0
693;7;17;3
693;14;0;1
703;7;1;1
703;14;0;1
703;-1;0;0
705;7;2;2
705;-1;0;0
709;7;0;0
709;-1;0;0
711;7;1;3
721;7;1;0
721;-1;3;1
724;7;0;0
724;-1;0;0
724;14;1;1
728;7;0;0
728;14;0;3
728;-1;0;1
740;7;6;0
740;-1;0;0
740;14;2;1
752;7;0;3
752;14;0;1
758;7;5;3
758;-1;0;0
758;14;0;3
762;7;1;1
762;14;0;0
764;7;0;3
764;14;0;2
764;-1;0;1
768;7;0;0
768;14;0;3
768;16;0;0
773;7;0;3
774;7;0;1
774;16;0;0
784;7;1;1
784;16;0;2
788;7;4;0
788;14;0;0
790;7;0;3
790;-1;9;2
790;2;0;2
791;14;0;0
791;-1;2;1
794;7;0;0
794;14;0;1
794;16;0;0
796;7;6;2
806;7;0;1
806;2;0;1
806;-1;2;0
811;7;0;1
811;14;0;3
813;-1;0;0
815;14;0;1
825;-1;0;1
831;7;3;3
831;16;0;1
831;14;0;2
834;8;0;0
834;16;2;3
834;-1;0;0
834;7;4;1
834;14;1;2
836;7;0;0
836;16;0;0
836;-1;0;0
836;14;0;1
838;7;2;3
838;14;0;1
845;7;0;2
852;7;0;3
852;-1;1;2
852;14;1;2
856;7;0;0
856;16;0;1
856;-1;0;0
856;14;1;3
871;7;2;0
871;-1;0;0
871;14;0;1
873;7;0;2
873;-1;0;1
875;7;0;1
875;-1;1;3
875;14;0;2
880;7;0;3
880;-1;0;0
