"ID";"X_UTM";"Y_UTM";"LAND_USE"
483724;875158;4599648;3
483727;875183;4613705;3
483731;875206;4627762;2
483733;875227;4598649;3
483737;875253;4612706;4
483741;875276;4626763;2
483743;875297;4597650;3
483747;875323;4611707;3
483750;875346;4625764;3
483753;875366;4596650;3
483758;875392;4610708;2
483761;875416;4624765;3
483764;875435;4595651;3
483769;875462;4609709;3
483772;875486;4623766;3
483775;875505;4594652;3
483779;875531;4608709;3
483782;875555;4622767;2
483785;875574;4593653;3
483789;875601;4607710;3
483792;875625;4621768;4
483795;875643;4592654;4
483799;875670;4606711;3
483802;875695;4620769;3
483809;875740;4605712;3
483812;875764;4619769;3
483816;875787;4633827;3
483819;875809;4604713;3
483822;875834;4618770;3
483826;875856;4632828;3
483829;875879;4603714;3
483832;875904;4617771;3
483836;875926;4631829;2
483839;875948;4602715;3
483842;875973;4616772;3
483846;875996;4630829;2
483849;876018;4601715;3
483852;876043;4615773;3
483856;876066;4629830;2
483859;876087;4600716;3
483862;876113;4614774;3
483866;876136;4628831;2
483869;876157;4599717;3
483872;876182;4613775;3
483876;876206;4627832;2
483878;876226;4598718;3
483882;876252;4612776;3
483886;876275;4626833;2
483888;876296;4597719;3
483892;876322;4611776;2
483895;876345;4625834;2
483898;876365;4596720;3
483903;876391;4610777;2
483906;876415;4624835;3
483909;876434;4595721;3
483914;876461;4609778;2
483917;876485;4623836;2
483920;876504;4594722;3
483924;876530;4608779;2
483927;876554;4622836;4
483930;876573;4593722;2
483934;876600;4607780;3
483937;876624;4621837;4
483940;876643;4592723;3
483944;876669;4606781;3
483947;876694;4620838;4
483954;876739;4605782;3
483957;876764;4619839;3
483964;876809;4604782;3
483967;876833;4618840;3
483974;876878;4603783;3
483977;876903;4617841;3
483981;876925;4631898;3
483984;876948;4602784;3
483987;876973;4616842;3
483991;876995;4630899;2
483994;877017;4601785;3
483997;877042;4615843;4
484001;877065;4629900;3
484003;877086;4600786;3
484007;877112;4614843;3
484011;877135;4628901;2
484013;877156;4599787;2
484017;877182;4613844;3
484021;877205;4627902;2
484023;877225;4598788;3
484027;877251;4612845;2
484031;877275;4626903;2
484034;877295;4597788;3
484038;877321;4611846;2
484041;877344;4625904;2
484044;877364;4596789;3
484049;877390;4610847;3
484052;877414;4624904;3
484055;877434;4595790;3
484059;877460;4609848;3
484062;877484;4623905;3
484065;877503;4594791;1
484069;877530;4608849;3
484072;877554;4622906;3
484075;877572;4593792;3
484079;877599;4607849;3
484082;877623;4621907;2
484085;877642;4592793;3
484089;877669;4606850;3
484092;877693;4620908;3
484099;877738;4605851;3
484102;877763;4619909;3
484109;877808;4604852;3
484112;877832;4618910;3
484116;877855;4632967;3
484119;877877;4603853;2
484122;877902;4617910;3
484126;877925;4631968;2
