"ID";"num.sp";"saplings";"seedlings"
84;16;0;1
84;7;1;1
84;14;0;3
98;7;8;3
98;14;0;3
118;16;0;1
118;7;0;3
118;14;0;1
134;7;4;0
147;7;0;3
162;2;0;2
162;-1;10;0
162;14;5;3
173;7;1;2
173;14;0;2
196;16;0;1
196;7;12;1
196;14;0;2
196;-1;1;0
199;14;2;0
199;7;12;0
214;7;3;0
218;7;6;0
218;14;1;0
222;-1;3;0
247;7;12;0
258;16;0;2
258;7;0;2
258;14;2;2
258;-1;3;2
258;2;5;0
259;16;0;2
259;7;0;2
259;14;0;2
262;16;0;2
262;7;1;3
262;14;0;3
262;-1;0;2
266;16;0;1
266;14;1;0
266;-1;4;0
267;7;6;2
267;14;1;2
275;2;0;1
275;7;7;1
275;14;0;1
275;-1;2;1
315;7;3;0
323;14;0;1
323;2;3;0
323;16;0;2
330;16;0;3
330;7;0;1
330;14;0;2
350;2;0;1
350;7;0;0
350;14;0;0
350;-1;8;0
351;7;1;2
358;7;1;0
358;14;0;1
358;-1;5;1
362;14;2;0
366;14;3;0
370;14;2;0
426;16;0;3
426;7;0;1
426;14;3;2
426;-1;1;1
430;14;2;0
435;7;0;3
435;14;0;1
435;-1;0;2
438;16;0;1
438;7;1;2
438;14;0;3
438;-1;0;0
440;7;4;0
446;16;0;1
446;7;8;1
446;14;0;3
452;16;0;3
452;7;1;2
452;14;0;1
476;16;0;3
476;14;0;1
477;7;0;3
498;14;2;0
509;7;3;0
515;16;0;1
515;2;0;2
515;14;0;1
515;-1;2;0
537;7;0;0
547;7;1;0
547;14;0;3
547;-1;2;0
551;7;2;0
552;7;6;0
559;7;9;0
559;14;5;0
575;16;0;3
583;7;1;0
589;7;1;0
589;14;0;1
612;2;0;0
612;14;2;0
617;14;1;0
617;7;4;0
629;-1;1;0
629;14;0;0
633;7;2;0
635;16;0;2
635;7;11;0
635;14;0;1
638;16;6;1
638;14;9;0
667;16;0;0
667;7;0;2
667;14;3;2
669;7;1;0
669;14;2;0
675;7;0;3
675;14;0;3
681;16;0;2
681;7;0;1
681;14;0;1
681;-1;0;1
686;-1;1;0
686;14;0;1
686;16;0;1
687;7;0;1
687;-1;3;1
693;16;0;3
693;7;4;0
693;14;0;2
728;16;0;1
728;7;1;3
728;14;0;3
728;-1;4;3
758;7;2;0
758;14;6;2
758;-1;4;0
762;7;0;1
762;14;0;3
764;16;0;2
764;7;0;2
764;14;0;2
764;-1;0;0
771;7;1;0
784;7;0;1
784;16;0;2
790;16;0;1
790;7;0;1
790;14;1;0
790;-1;8;0
806;16;0;1
806;2;0;3
806;7;0;2
806;14;0;1
806;-1;8;1
811;2;0;1
811;14;0;2
813;-1;0;0
834;16;1;1
834;14;5;3
836;7;3;0
836;-1;2;0
