"ID";"IDPARCELA";"DANYSEVER";"DANYMITJA";"DANYPETIT"
84;151349;0;0;0
98;152094;0;0;0
118;151353;0;0;2
147;152098;0;0;0
162;151357;0;0;0
173;152105;0;0;17
196;151362;0;0;0
222;151360;0;0;0
258;152115;0;0;0
259;151367;0;0;0
262;152114;0;0;0
266;152113;0;0;0
267;151365;0;0;0
275;151364;0;0;0
323;151373;0;0;0
330;152116;0;0;0
350;151387;0;0;0
351;151371;0;0;0
358;151385;0;0;0
426;151393;0;0;0
435;151392;0;0;0
438;152124;0;0;0
446;151391;0;0;0
452;151390;0;0;0
476;151405;0;0;0
477;151389;0;0;0
515;151399;0;0;0
537;152126;0;0;0
547;151418;0;0;0
551;151417;0;0;0
557;151395;0;0;0
559;152131;0;2;2
575;152130;0;0;0
589;151413;0;0;0
612;151409;0;0;0
629;151408;0;0;0
635;151407;0;0;0
638;152138;0;0;0
667;152137;0;0;0
675;151425;0;0;0
681;151424;0;0;0
686;152136;0;0;0
687;151423;0;0;0
693;151422;0;0;0
728;151442;0;0;0
758;151438;0;0;0
762;152142;0;0;0
764;151437;0;0;0
784;151436;0;0;0
790;151435;0;0;0
806;151453;0;0;0
811;152144;0;0;2
834;152151;0;0;0
836;152143;0;0;0
852;151447;5;5;5
871;151465;0;0;0
892;152951;0;0;0
893;152147;0;0;0
903;150666;0;0;0
936;151463;0;0;0
943;151462;0;0;0
960;152154;0;0;0
976;151458;0;0;0
982;151457;0;0;0
994;150667;0;0;0
1041;153314;0;2;2
1082;152159;0;0;0
1083;151486;0;0;0
1098;151484;0;0;0
1117;152158;0;0;0
1140;153317;0;0;0
1157;151478;0;0;0
1162;151496;0;0;0
1164;151477;0;0;0
1198;152956;0;0;0
1206;152175;0;0;0
1284;152964;0;22;22
1304;153328;0;0;0
1305;151504;0;0;0
1314;152168;0;0;0
1316;151503;0;0;0
1358;153325;0;0;0
1370;153324;0;0;0
1371;152164;0;0;0
1384;151499;0;0;0
1391;152181;0;0;0
1436;150671;0;0;0
1465;152179;0;0;0
1466;153335;1;1;1
1467;151511;0;0;0
1476;152178;0;0;0
1478;151510;0;0;0
1488;153333;0;0;0
1537;151508;0;0;0
1589;152965;0;0;0
1614;151522;0;0;0
1643;152200;0;0;0
1646;153340;0;3;3
1669;152185;0;0;0
1671;151519;0;0;0
1682;152184;0;0;0
1684;151518;0;0;0
1741;152197;0;0;0
1744;150676;0;0;0
1751;152972;0;0;0
1753;152980;0;0;0
1772;152971;0;0;0
1778;150674;0;0;0
1784;152970;0;0;0
1805;152977;0;0;0
1819;152207;0;0;0
1859;151527;0;0;0
1871;151526;0;0;0
1881;151542;0;0;0
1919;150679;0;0;0
1929;151541;0;0;0
1953;150677;0;0;0
1959;152986;0;0;0
1969;152985;0;0;0
1995;152215;0;0;0
1997;153349;0;0;0
2011;151537;0;0;0
2020;153348;0;0;0
2035;151535;0;0;0
2043;152214;0;0;0
2067;152213;0;0;0
2069;151555;0;0;0
2089;361614;0;13;17
2096;150681;0;0;0
2136;152995;0;0;0
2146;152994;0;0;0
2147;152223;0;0;0
2150;151549;0;0;0
2156;361602;0;0;0
2160;152208;0;0;0
2178;361597;0;0;0
2182;151570;0;0;0
2184;151547;0;0;0
